Track,Artist,Spotify Streams,Spotify Popularity,Spotify Playlist Count,TikTok Posts,TikTok Likes,TikTok Views,Track Score,All Time Rank
Lil Boo Thang,Paul Russell,242070373,76.0,37170,2553106,312997953,3832221658,152.1,102
MONACO,Bad Bunny,478150858,78.0,73306,1700998,182319546,2111289492,150.7,103
Laxed (Siren Beat),Jawsh 685,61382407,43.0,7240,37726462,9239474,147837262,150.5,104
(It Goes Like) Nanana - Edit,Peggy Gou,460156070,77.0,163449,530103,65920648,1032799567,150.4,105
Training Season,Dua Lipa,251153869,76.0,16811,102884,34572688,431390500,148.9,106
The Box,Roddy Ricch,1911559785,78.0,317345,4930490,561201008,4574447121,146.6,109
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2014959725,70.0,354831,1750366,915814897,9558947943,145.3,110
Fast Car,Luke Combs,518988585,80.0,73116,354036,74258021,924204888,144.5,112
Aesthetic,Tollan Kim,5712985,44.0,2311,20114495,2452502310,33870791454,144.0,114
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3358704125,79.0,392082,2714134,178829434,1597453878,143.9,116
Hands,Dianï¿½,126914,1.0,8,33,188,6415,143.9,115
Believer,Imagine Dragons,3006226762,81.0,335880,5745117,453132709,5876458723,142.2,119
WAIT FOR U (feat. Drake & Tems),Future,787155930,77.0,183850,931660,95662104,836550889,141.0,120
I KNOW ?,Travis Scott,532605345,81.0,128534,322900,108595670,947194801,139.5,121
ANDO,Jere Klein,292789738,72.0,28591,1900606,68341852,872862858,139.0,122
First Class,Jack Harlow,818858244,71.0,223609,1610614,624748318,6890780336,138.6,123
FE!N,Travis Scott,659010786,86.0,129923,22100,13787343,107398826,137.8,124
I Ain't Worried,OneRepublic,1607421145,83.0,212406,247865,155593087,1825552705,136.2,127
MI EX TENï¿½ï¿½A RA,KAROL G,438796949,78.0,23959,1223804,46080266,782582119,136.2,128
Drained of Color,Exhumed,158627,16.0,635,9,422,4484,134.0,129
Mood (feat. iann dior),24kGoldn,1867736006,76.0,302486,2467227,160756733,1768836179,133.0,130
Dynamite,BTS,1872577908,74.0,144619,3098499,662794945,5063720138,132.3,131
Someone You Loved,Lewis Capaldi,3427498835,82.0,338763,1940473,212007614,2161032034,129.7,133
Acrï¿½ï¿½s,Shakira,230849195,64.0,23091,4897595,104580759,1551501289,129.6,134
Made You Look,Meghan Trainor,720720922,77.0,74295,4687520,1252326407,15247253457,129.5,135
PHONK BRASILEIRO FRESCO (Slowed + Reverb),DJ MOIGUS,1378494,34.0,351,7702832,90289248,1272592848,129.4,136
vampire,Olivia Rodrigo,998964097,18.0,90793,394640,152624014,1448207880,128.9,138
Casca de Bala,Thullio Milionï¿½ï¿,37157630,74.0,2052,1600000,853176,8850449,128.5,139
Back,LOLA,48428,3.0,92,111,102828,735317,128.0,140
People,Libianca,631955547,74.0,121823,3168854,243797561,3233505931,127.8,141
I Don't Wanna Wait,David Guetta,114574238,84.0,10564,299000,4419373,79796400,126.9,144
La Bachata,Manuel Turizo,1721045197,81.0,156941,1614275,209367923,2596777974,126.2,146
ýýýýýýýýýýýýýýýýýýýýý,FLI:P,8028757,44.0,1972,8800000,256186613,3985974550,125.4,147
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,1612286123,74.0,282719,1404274,502778982,4702037810,125.2,148
Don't Start Now,Dua Lipa,2607121959,78.0,270230,4725570,414013363,3535661993,124.6,149
Lucid Dreams,Juice WRLD,2548389305,78.0,339306,1900813,44442433,338071383,123.9,150
PROVENZA,KAROL G,1185929926,76.0,103026,1300337,251445963,2829294043,123.8,151
WAP (feat. Megan Thee Stallion),Cardi B,1325725696,72.0,171255,8470921,1183499351,9539547626,123.4,152
SPOT!,ZICO,77757035,81.0,3407,99900,46645177,366905484,122.8,153
Seven (feat. Latto) (Explicit Ver.),Jung Kook,1673557134,80.0,54950,341522,114990786,761760624,122.4,156
Last Night,Morgan Wallen,922010059,79.0,107189,285414,61112010,811685466,121.9,157
Bad Habits,Ed Sheeran,1754311538,74.0,271758,1036355,225139300,2658904267,120.8,159
QLONA,KAROL G,850810162,82.0,56104,1167300,58820722,717259721,120.7,160
Leave The Door Open,Bruno Mars,1312168384,75.0,248793,1503567,369280607,3350704343,120.1,161
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),548408,24.0,130,18000000,334009036,7041708832,119.5,162
good 4 u,Olivia Rodrigo,2167768056,79.0,309421,1893481,1080682523,8186754429,117.8,163
bad guy,Billie Eilish,2516804300,76.0,296739,3774645,177247662,1409756969,117.7,164
Seï¿½ï¿½o,Shawn Mendes,2738293818,74.0,251033,5815851,140938643,1859977153,117.6,165
DESPECHï¿,ROSALï¿½,1003487432,73.0,126402,2409247,476447290,6208638113,116.9,166
ROCKSTAR (feat. Roddy Ricch),DaBaby,1638836101,70.0,272933,5241838,364560431,3869815694,116.7,167
Eyes Closed,Ed Sheeran,372423476,71.0,44730,1102985,38959591,830123390,116.6,168
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,630373315,84.0,70400,215433,70110809,586454750,116.5,169
Circles,Post Malone,2481391466,80.0,332437,83111,26892604,273522601,116.0,170
EL AMOR DE SU VIDA,Grupo Frontera,474590289,78.0,24891,136500,32754141,509287649,115.9,171
About Damn Time,Lizzo,847025688,66.0,104052,3030761,1522267606,15665483220,115.6,172
Closer,The Chainsmokers,2880536961,80.0,285381,1103074,100536756,514053404,114.6,173
FLOWER,JISOO,440364356,70.0,26107,3411209,550993898,6724997940,114.3,174
PERRO NEGRO,Bad Bunny,689181455,83.0,61138,213300,49332435,487440417,114.2,175
Havana (feat. Young Thug),Camila Cabello,2072182782,75.0,194332,1314091,53911465,546650805,112.8,177
LUNA,Feid,606124553,86.0,40628,14519,5128004,29601244,112.6,178
I Like You (A Happier Song) (with Doja Cat),Post Malone,827950825,73.0,118965,172228,118133115,1359837461,112.5,179
Bones,Imagine Dragons,1227475431,78.0,180053,341199,191133207,2255843288,112.0,180
golden hour,JVKE,1126986320,73.0,200887,461623,313934124,2305840359,111.4,183
Levitating (feat. DaBaby),Dua Lipa,2074721986,77.0,255296,858364,324510578,2649555956,111.3,184
Get It Sexyy,Sexyy Red,89362910,84.0,7377,361700,71058620,476545000,111.1,185
"This Wish - From ""Wish""",Ariana DeBose,26674909,19.0,2673,4304279,50776319,709276580,110.9,186
Ojitos Lindos,Bad Bunny,1421763497,78.0,152592,179400,14518451,225142753,110.7,188
Life Is Good (feat. Drake),Future,1237874594,67.0,276882,584648,77631196,964755757,110.2,189
Escapism.,RAYE,804925777,75.0,128247,935169,362063344,3209982240,110.1,190
Jimmy Cooks (feat. 21 Savage),Drake,971473231,78.0,239671,803500,85725313,926300276,109.7,192
What You Know Bout Love,Pop Smoke,1125681368,72.0,251023,5487112,345484397,2775640343,109.5,193
Memories,Maroon 5,2011072164,77.0,222804,2377898,155233360,1458416059,109.3,194
Classy 101,Feid,872148396,78.0,90726,459540,102272836,1113541743,109.1,195
Whatever She Wants,Bryson Tiller,207093873,87.0,23181,67400,22398663,298300000,108.4,197
Vois sur ton chemin - Techno Mix,BENNETT,361517395,80.0,119783,13334,1804060,35999853,107.8,198
Without Me,Halsey,2042792456,75.0,198888,3897257,208270183,2216715741,107.4,200
Shallow,Lady Gaga,2447973078,78.0,221822,52698,11103476,168789459,106.9,204
Thunder,Imagine Dragons,2384768901,79.0,244951,1839173,79131934,906537912,106.9,203
Rush,Ayra Starr,371886608,67.0,98009,3035139,98505939,1454848289,106.4,205
abcdefu,GAYLE,1128273165,70.0,193857,2167302,1127247971,12414681151,106.2,206
Buga,Kizz Daniel,86516910,57.0,30835,10289181,119876546,1872751535,105.8,208
Bad Habit,Steve Lacy,1087938471,73.0,220515,902163,360938850,2783442788,105.8,207
MONEY,LISA,1189335848,73.0,103236,3707867,1292738947,12516703531,105.5,210
Columbia,Quevedo,721002940,79.0,84161,372100,71411756,752868970,105.5,209
LADY GAGA,Peso Pluma,684204777,78.0,48370,777100,112400175,1207597707,105.2,212
Woman,Doja Cat,1606950381,78.0,217443,2148350,795146493,5944657895,105.2,211
CUFF IT,Beyoncï¿,795960535,73.0,100204,2762888,945005125,11215597325,104.9,213
How You Like That,BLACKPINK,1033109188,68.0,82170,10007464,628046798,7988463856,104.5,215
Milf Song,The Puddleducks,1165982,28.0,1176,1865,1476436,7758599,104.5,216
Nasty,Tinashe,31612906,76.0,3887,535464,171691158,1051026401,104.4,217
Superhero (Heroes & Villains),Metro Boomin,706356280,77.0,166277,32432,14181961,108461504,104.4,218
Panda,Desiigner,1181348550,62.0,170002,3823774,33020704,283835852,104.2,219
Tattoo,Loreen,518846340,77.0,83033,236349,68936229,718955243,103.9,221
Kiss Me More (feat. SZA),Doja Cat,1823871908,76.0,262313,2074944,1053759171,8035914098,103.4,222
What It Is (Block Boy) (with Kodak Black),Doechii,102772879,61.0,29487,3308739,92626234,847338969,103.3,223
Illusion,Dua Lipa,108501771,12.0,7430,3584,4057,38200,103.1,225
drivers license,Olivia Rodrigo,2184754018,79.0,250778,1365848,617386471,3781894216,102.9,226
Used To Be Young,Miley Cyrus,205468104,69.0,30639,67350,33519594,503074793,102.4,227
Cupid - Twin Ver.,FIFTY FIFTY,861388470,48.0,103040,2107181,407118298,4388576830,102.3,229
Players,Coi Leray,465588517,67.0,91658,1456347,477814190,4784803362,101.8,230
rockstar (feat. 21 Savage),Post Malone,2960046642,77.0,352745,196242,40652322,456931528,101.8,231
Con Calma,Daddy Yankee,1353028938,73.0,160122,1190870,26028684,319615777,101.4,236
Here With Me,d4vd,1042311849,80.0,154178,2321933,467461517,3656967030,101.4,234
Favorite Song,Toosii,186579651,62.0,45668,249537,11127302,117325107,101.4,235
Si No Quieres No,Luis R Conriquez,158131138,85.0,5423,142300,14500,147200,101.4,233
MONTERO (Call Me By Your Name),Lil Nas X,1902241314,70.0,316054,2297386,864049980,7655286423,100.8,238
Si No Estï¿½,iï¿½ï¿½igo quin,665716137,80.0,97057,2900087,216927444,2653383273,100.1,241
Glimpse of Us,Joji,1262308912,74.0,234936,865354,1031153514,8988453878,99.8,242
Watermelon Sugar,Harry Styles,2708151499,82.0,298135,1375118,301076974,2738127473,99.7,243
WHERE SHE GOES,Bad Bunny,717849037,72.0,98440,308670,85402638,808518802,98.4,246
Yandel 150,Yandel,837576264,70.0,102545,632917,43022167,631781362,98.1,247
THATS WHAT I WANT,Lil Nas X,1062095453,72.0,165197,1174669,331324816,3501946982,98.0,248
Todo De Ti,Rauw Alejandro,1339352060,75.0,188874,3247015,488004183,4445597088,98.0,249
Chemical,Post Malone,503574147,75.0,79679,20078,8878995,134469226,97.6,250
See You Again (feat. Charlie Puth),Wiz Khalifa,1891920348,78.0,159571,2196129,424216963,3455170110,97.6,251
Drip Too Hard (Lil Baby & Gunna),Lil Baby,1486929795,76.0,266128,618523,58332458,523849646,97.5,252
Uptown Funk,Mark Ronson,1993030264,77.0,256764,274381,98429039,1268235679,97.1,254
love nwantiti (ah ah ah),CKay,853451422,71.0,172458,12330900,1768913633,23933379729,96.9,256
Mi Gente,J Balvin,1478442472,69.0,189504,163477,67021310,1018060369,96.4,257
Late Night Talking,Harry Styles,959639297,76.0,108806,101923,64491271,580526441,96.4,258
Miss You,Oliver Tree,631378937,51.0,165883,1905732,363515584,5776425361,96.2,261
girls like me don't cry,thï¿½ï,69931412,61.0,13220,9009769,496871104,6778569349,96.2,260
Yummy Fruits and Vegetables,D Billions,2300838,35.0,543,1690,50237,4527607,96.2,259
Dakiti,Bad Bunny,1977947460,72.0,245685,21703,1119576,21573356,96.1,262
Starboy,The Weeknd,3291262413,84.0,366133,262780,52707882,375498232,95.7,265
Sorry,Justin Bieber,2089476497,78.0,179545,2463600,48687438,376376728,95.7,264
Calling My Phone,Lil Tjay,777064903,71.0,213153,1378861,181697356,1411545704,95.7,263
Pink Venom,BLACKPINK,736469450,68.0,48251,1833169,587311863,5828265172,95.6,266
I Can Do It With a Broken Heart,Taylor Swift,250430303,84.0,7079,148000,52156902,411722900,95.0,267
death bed (coffee for your head),Powfu,1656385770,74.0,283938,7578918,610598789,5007036875,94.8,268
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,682837690,80.0,155771,41044,23532424,185584934,94.5,269
MELTDOWN (feat. Drake),Travis Scott,347647880,74.0,106908,19100,6796886,53065653,94.3,270
Moscow Mule,Bad Bunny,1108031580,77.0,121256,222100,106783326,940630746,94.1,272
Something Just Like This,The Chainsmokers,2596644721,82.0,278237,350848,80813727,631258708,94.0,273
7 rings,Ariana Grande,2262490403,77.0,179865,3040090,282688098,2620954252,93.9,274
Moonlight,Kali Uchis,701558859,74.0,110539,594413,173483893,1114531877,93.1,275
Savage Love (Laxed - Siren Beat),Jawsh 685,1118038333,67.0,142905,10104238,420225179,4530095073,93.1,276
God's Plan,Drake,2529948475,77.0,313741,640874,70576617,634177218,92.9,278
Sunroof,Nicky Youre,879708559,12.0,44652,11172130,1672193890,22086963233,92.3,279
La Vï¿½ï¿½c,Xavi,521116293,81.0,24734,33444,11882123,107781205,92.0,280
MY EYES,Travis Scott,403132906,78.0,103255,8436,16565594,139973656,91.9,281
Despacito - Remix,Luis Fonsi,1713294983,65.0,134700,1323640,61011622,607999568,91.5,284
Ghost,Justin Bieber,1586830204,80.0,151923,797409,122390348,1180485094,91.5,283
Dior,Pop Smoke,1070422470,72.0,294539,1447194,119978916,1077344517,91.4,285
Una Noche en Medellï¿½,Cris Mj,839405565,75.0,107431,3874773,422978919,4817726878,90.7,288
SAD!,XXXTENTACION,2218531106,75.0,263801,1295895,58018849,435340082,90.5,289
Primera Cita,Carin Leon,598006591,80.0,35842,916093,96228889,1108602382,90.5,290
Efecto,Bad Bunny,1293773697,77.0,115332,2482560,549037519,6046489956,90.1,292
Yonaguni,Bad Bunny,1398634184,71.0,177082,884793,298126879,2877719483,88.6,295
Heathens,Twenty One Pilots,1777196966,78.0,241108,4715288,113594559,1024805500,88.6,296
Whoopty,CJ,775664145,61.0,213464,2403279,506491179,4864435271,88.6,297
Super Shy,NewJeans,547471596,77.0,48103,1201620,210186679,1998080214,88.4,298
Happier,Marshmello,2143821605,16.0,220298,1228334,96907387,809336882,87.9,299
HARLEY QUINN,Fuerza Regida,462284590,84.0,31617,911100,169601790,1947539058,87.7,301
Butter,BTS,1257974135,70.0,90160,2098050,1059257365,8120632702,87.5,302
Calma - Remix,Pedro Capï¿,1153753974,67.0,118846,1847640,11391899,124640416,87.2,303
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,1733302434,72.0,191065,2563738,26503434,153590873,87.1,305
Say So,Doja Cat,1199270601,69.0,161574,8992493,687678447,5494376938,87.0,306
Ransom,Lil Tecca,1355971796,77.0,198992,501905,79556873,532109309,86.8,307
Romantic Homicide,d4vd,1136504636,81.0,152157,515601,215294962,1306972284,86.8,308
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1528107667,73.0,170648,2416274,61034077,595697842,86.6,310
Rich Men North of Richmond,Oliver Anthony Music,214598468,74.0,66613,8397,1367633,35469076,86.5,312
BESO,ROSALï¿½,647201484,74.0,81393,946380,131649631,1792090770,86.3,313
Que Vuelvas,Carin Leon,684853927,73.0,42893,1100030,91969060,1162186778,86.1,314
Just Wanna Rock,Lil Uzi Vert,665519026,68.0,152193,1016531,606205784,5516142056,85.8,318
Mood Swings (feat. Lil Tjay),Pop Smoke,785016247,70.0,210669,1826673,141952709,976662212,85.8,317
Fuck Love (feat. Trippie Redd),XXXTENTACION,1615274494,79.0,203617,59900,19736442,100843174,85.6,319
Rich Flex,Drake,812274757,73.0,185579,317033,223409952,1834709832,85.5,320
Standing Next to You,Jung Kook,675865902,85.0,23181,308567,111187858,628043802,85.5,321
Congratulations,Post Malone,1984802459,75.0,246374,955053,99916455,811673866,85.3,322
Do It To It,ACRAZE,805019111,73.0,238887,2600179,673283810,10369065597,85.2,324
Tusa,KAROL G,1497511486,68.0,157185,1636079,39086388,414336041,85.2,323
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1119350842,71.0,272485,1312576,203661245,1505078331,84.8,325
Good Good,USHER,53825007,59.0,14742,88131,6358930,89022964,84.7,326
Austin,Dasha,273023490,87.0,17900,744600,187163600,2850135008,84.6,327
Search & Rescue,Drake,337858357,69.0,96709,106645,21329637,192701225,84.6,329
TULUM,Peso Pluma,390182196,74.0,36912,1096644,84875226,1391833232,84.6,328
Shivers,Ed Sheeran,1568058093,77.0,188855,389848,88427778,1292107474,84.4,330
Adderall (Corvette Corvette),Popp Hunna,90383224,45.0,24868,16892400,462872272,4082175492,84.1,332
Los del Espacio,LIT killah,373898429,72.0,53671,782114,148537760,1715842070,83.3,336
Taste (feat. Offset),Tyga,1358105253,69.0,217189,3833884,145706030,1981780200,83.1,338
MAMIII,Becky G,911797058,74.0,80109,1741513,267846050,3410691967,83.1,337
Until I Found You,Stephen Sanchez,1020452066,73.0,169696,796783,391999548,3320885451,83.0,339
Banana (feat. Shaggy),Conkarah,27747363,41.0,9067,23206073,803136063,11797196743,82.7,341
Stick Season,Noah Kahan,965865213,86.0,113676,82855,29406696,275016537,82.6,342
Need To Know,Doja Cat,1178076856,71.0,164743,734932,365523934,2422643413,82.5,344
kompa pasiï¿½,ýýýýýýýýýý,29458027,78.0,2602,439200,8820761,87680200,82.5,345
Quï¿½ï¿½ Ago,Yuridia,394381902,73.0,22919,998663,48461089,847830213,82.5,343
Last Last,Burna Boy,410722289,68.0,130203,260214,93902403,1049244970,82.4,346
500lbs,Lil Tecca,350584176,68.0,79228,638,1056379,11627298,82.1,349
Knife Talk (with 21 Savage ft. Project Pat),Drake,732652170,72.0,217189,264300,95344150,711702658,82.1,348
BILLIE EILISH.,Armani White,359416593,64.0,91114,4530098,885538360,10488403602,82.0,350
ýýýýýýýýýýýý,YOASOBI,356559943,69.0,47785,504800,162429655,1871819472,81.8,351
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,406319778,80.0,42283,117408,7626726,99492470,81.5,353
deja vu,Olivia Rodrigo,1606975517,80.0,172376,1210842,534102475,3758269019,81.3,355
Sequï¿½ï¿½ncia da,TRASHXRL,148630357,33.0,22962,3757654,145382546,2299851479,80.8,358
Doja,Central Cee,676519766,74.0,192241,492679,411670410,3919404141,80.5,360
Kill This Love,BLACKPINK,820840650,67.0,63934,1738066,182304244,1616215054,80.4,361
"Good Luck, Babe!",Chappell Roan,176290078,87.0,13470,61889,45660069,263955300,80.2,363
Sweet but Psycho,Ava Max,1668741024,76.0,174052,5371543,206785018,2733847243,80.1,365
Hey Mor,Ozuna,986132265,76.0,97956,793798,154969251,2145975300,80.1,364
Ferrari,James Hype,626010147,74.0,185422,88909,20233025,368044894,80.1,366
Falling,Trevor Daniel,1606023895,71.0,225643,6047796,914937622,8742744684,80.0,367
positions,Ariana Grande,1432830108,74.0,139215,1268910,254276140,1984520688,80.0,368
Where Are You Now,Lost Frequencies,1223329465,74.0,211823,308286,25459624,413908070,79.9,370
Save Your Tears,The Weeknd,1995511952,80.0,304456,415050,137726738,1154403769,79.9,371
Happier Than Ever,Billie Eilish,1321878145,78.0,189487,570442,358879639,2295813182,79.9,372
This Is What You Came For,Calvin Harris,1746790923,79.0,204049,2176881,17649503,137718139,79.8,373
China,Anuel AA,1178076574,68.0,137559,386741,15484682,146747450,79.5,376
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,759374819,69.0,64239,837092,81957005,966469545,79.5,374
Moonlight,XXXTENTACION,1885431727,77.0,241112,275009,36219008,300772720,79.5,375
Smart,LE SSERAFIM,159256689,74.0,6829,170200,234770546,2059824051,79.3,379
That's What I Like,Bruno Mars,2075459887,80.0,209632,604526,100008149,704916578,79.3,378
The Business,Tiï¿½ï¿,1191635193,70.0,255697,777092,73955191,1435552956,78.3,381
Ride It,Regard,1349427877,76.0,220002,3646762,362781709,5118900832,78.2,382
Mwaki,Zerb,121234000,42.0,36468,118600,20204903,395342206,77.9,383
BICHOTA,KAROL G,868091483,64.0,86379,1586770,101362709,1153849236,77.8,385
The Hills,The Weeknd,2306740926,80.0,333310,1064662,140355034,1174129136,77.5,388
Seven (feat. Latto) (Clean Ver.),Jung Kook,1673557134,72.0,15863,1500000,104700560,1092175292,77.4,389
SKINNY,Billie Eilish,77212437,84.0,4083,472,301528,1423956,77.3,390
Te Felicito,Shakira,719593291,67.0,74269,826261,159735614,2594106000,77.0,392
Que Onda,Calle 24,642548537,81.0,36781,205583,41258724,499670882,76.9,393
Stumblin' In,CYRIL,180784576,83.0,22208,91700,2012224,61731912,76.9,394
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,428164381,68.0,80340,61144,40889470,419346148,76.6,396
Desesperados,Rauw Alejandro,1021480638,78.0,119558,793105,186008455,2153526389,76.6,397
Sugar,Maroon 5,1838092894,75.0,186038,234084,29492228,406531709,76.6,399
Old Town Road - Remix,Lil Nas X,1527106099,68.0,186252,4203166,55379491,478304071,76.2,404
Let Me Love You,DJ Snake,2147028486,80.0,205482,4116973,49564235,528988791,76.2,403
Envolver,Anitta,635241142,65.0,77669,2101465,699278513,9427647770,76.2,401
Oublie-moi,Emkal,17992999,42.0,11288,7146060,118925740,2858109417,76.0,405
NUEVA VIDA,Peso Pluma,253464894,76.0,22779,1755500,61572969,708437568,75.6,408
you broke me first,Tate McRae,1439465700,77.0,169076,880567,188771287,1383885042,75.6,409
